781,-2768,2944,15016,-1017,-235,-18
785,-2584,2988,15132,-1078,-65,114
788,-2340,3060,15272,-1066,-44,40
791,-2324,2920,15132,-1006,-148,-64
794,-2412,3044,15040,-1009,-187,-186
798,-2584,2956,15032,-1002,-161,-230
801,-2824,2960,14992,-1016,-103,-172
804,-2588,2860,14980,-1023,-138,-233
808,-2188,3040,14980,-999,-412,-404
812,-2252,3064,15168,-922,-824,-654
815,-2416,2880,14924,-942,-1064,-688
818,-2812,3076,14896,-938,-1013,-579
822,-3232,2856,14852,-1029,-709,-260
825,-2796,2944,15004,-1077,-463,20
828,-2544,3112,15188,-1115,-430,76
831,-2528,2976,15008,-1110,-407,88
835,-2524,3128,15020,-1109,-420,103
838,-2568,2928,15024,-1122,-322,83
841,-2684,2848,14908,-1145,-204,-4
844,-2464,3036,15112,-1149,-184,-58
848,-2404,3048,14980,-1091,-261,-211
851,-2500,2992,15068,-1040,-346,-381
855,-2568,2928,15156,-1018,-384,-463
859,-2616,2944,14944,-979,-367,-485
862,-2772,2924,15024,-987,-325,-446
865,-2604,2928,14772,-992,-378,-426
868,-2580,3040,15128,-991,-446,-404
872,-2560,3096,14964,-976,-542,-388
875,-2588,3100,15104,-985,-576,-325
878,-2496,3140,14916,-1026,-546,-245
881,-2652,3092,15068,-1054,-547,-151
885,-2460,2944,15008,-1078,-575,-97
888,-2352,3016,15000,-1041,-699,-206
891,-2200,3096,14996,-1027,-792,-273
896,-2444,2956,14812,-1016,-778,-254
899,-2472,3056,14948,-1008,-542,-177
902,-2532,3020,14944,-1010,-265,-41
905,-2320,2932,15052,-1007,-145,-60
0,0,0,0,0,0,0,2
909,-2176,3068,15028,-963,-171,-138
912,-2428,2976,15000,-933,-196,-247
915,-2548,3136,15196,-920,-162,-302
919,-2640,3104,15072,-909,-128,-324
922,-2628,2952,15248,-918,-83,-313
925,-2728,3172,15140,-942,-43,-233
928,-2696,3212,15116,-974,-49,-232
931,-2704,2884,15112,-892,-104,-104
935,-2960,3420,15412,-1047,-191,-213
939,-3416,3488,15068,-947,-347,154
942,-2748,2748,14680,-829,74,484
945,-4216,3516,14832,-955,1198,957
949,-5564,2788,14224,-1125,2907,1805
952,-6484,4000,14556,-1318,5058,2730
955,-6760,3772,14112,-1418,6828,3193
959,-6020,2704,14396,-1380,7657,3257
962,-4880,3308,14592,-1097,6939,2328
966,-5124,3136,14344,-904,5188,1640
969,-4728,3268,14820,-714,3071,1082
972,-4436,2852,14644,-481,870,116
975,-4736,2460,14188,-395,-929,-497
979,-4860,3064,14432,-317,-1940,-1156
983,-5104,2516,13904,-363,-2232,-1369
986,-4776,2436,13816,-437,-1888,-1721
990,-3864,3168,14076,-308,-1390,-1690
993,-3976,2476,14248,-419,-224,-1688
996,-2800,2024,14656,-583,834,-1507
1000,-2624,2892,15136,-606,1930,-1588
1003,-2120,2212,15272,-736,2712,-1849
1006,-856,4288,16620,-566,2822,-2245
1010,-580,3696,16916,-274,2368,-2844
1013,-100,3164,16860,-88,1820,-3452
1016,-12,3320,17384,148,1099,-3599
1020,-248,3808,16828,162,832,-3833
1024,-1084,2900,16232,98,966,-3281
1027,-1376,3288,16048,-137,1591,-2869
1031,-1504,2376,15196,-307,2527,-2161
1034,-1860,2520,14948,-441,3475,-1446
1038,-2820,2572,14476,-661,4666,-697
1041,-2768,2068,14112,-931,5700,269
1044,-2664,2220,14224,-992,6066,846
1048,-2700,2388,14572,-984,5815,956
1051,-2136,1088,14432,-867,5052,820
1054,-3612,2748,14336,-834,4333,867
1058,-4208,1680,13640,-777,4037,1190
1061,-4732,2336,13740,-821,3800,1309
0,0,0,0,0,0,0,1
1065,-3992,2816,14272,-655,3092,1180
1069,-3284,2712,14996,-298,1655,836
1072,-3680,2484,15136,-75,642,280
1076,-4988,2508,14200,-301,474,34
1079,-4932,2240,14180,-657,744,-264
1082,-3592,4868,15612,-595,442,-92
1085,-912,3832,17216,-333,-701,-1283
1089,496,3344,17520,385,-3231,-3021
1092,1512,3800,18836,994,-6076,-4497
1095,2548,3060,18488,1254,-8766,-5569
1099,-236,4276,15772,1157,-9570,-5763
1102,404,2784,14404,798,-7773,-6114
1106,1520,2748,13988,317,-5519,-6759
1110,2220,4000,15240,336,-3734,-7203
1113,4296,2720,15832,480,-3130,-8387
1117,4428,3100,16452,839,-3351,-9688
1120,4644,2980,16368,1318,-3978,-10799
1124,3692,2848,15504,1695,-4083,-12044
1127,1148,3192,13824,1436,-3093,-11471
1131,1112,2808,13780,990,-1977,-10890
1134,0,3328,14640,533,-1214,-10777
1137,236,2512,14060,95,-861,-8541
1140,-2808,3204,12984,-505,446,-6286
1144,-4572,1416,13252,-1223,2008,-3189
1147,-6880,2060,12848,-2250,3726,413
1152,-8060,2684,14976,-2892,4670,4647
1155,-7644,1996,16020,-3358,4064,8677
1159,-7484,2400,16920,-3521,1954,11225
1162,-7132,2720,17340,-3431,-854,14686
1166,-7000,2072,16624,-3156,-3415,16763
1169,-5696,1992,16044,-2780,-5409,17623
1173,-6840,2668,15152,-2598,-6290,18534
1176,-6196,1760,14072,-2667,-6169,19144
1180,-5984,3460,14020,-2793,-5260,19569
1183,-3620,2448,13716,-3057,-4570,18340
